run,strategy,trades,cumulative_r,expectancy_r,profit_factor_r,max_drawdown_r,wins,losses,long_trades,short_trades
P2_Independent_NoOpposing,FastMedConfluence,215,21.675424257275804,0.10081592677802699,1.193475279979874,15.158276289261778,76,139,100,115
P2_Independent_NoOpposing,SweepReclaim,77,0.3145647022589165,0.004085255873492422,1.0066628738466505,11.524176253675629,25,52,43,34
P3_Independent_Opposing,FastMedConfluence,209,23.438583935008275,0.11214633461726448,1.2164850198230115,15.158276289261778,75,134,100,109
P3_Independent_Opposing,SweepReclaim,134,16.48892607297494,0.1230516871117533,1.2086223360425303,9.437025857898487,49,85,68,66
P4_Independent_E3R_Sweep2R,FastMedConfluence,199,27.44051909857387,0.13789205577172797,1.238170514591044,15.920488425228926,59,140,94,105
P4_Independent_E3R_Sweep2R,SweepReclaim,132,18.48892607297438,0.14006762176495743,1.2399999634168934,9.437025857898487,49,83,67,65
