run,trades,cumulative_r,expectancy_r,profit_factor_r,max_drawdown_r,wins,losses,long_trades,short_trades
P2_Independent_NoOpposing,292,21.98998895953472,0.0753081813682696,1.1380902753670905,18.158276289261778,101,191,143,149
P3_Independent_Opposing,343,39.927510007983216,0.11640673471715224,1.2131672170585517,23.588276289261607,124,219,168,175
P4_Independent_E3R_Sweep2R,331,45.92944517154825,0.1387596530862485,1.2389035960981203,24.245536258655875,108,223,161,170
