strategy,family,window,regime_dimension,regime_value,sample_label,trades,wins,losses,win_rate,cumulative_r,expectancy_r,profit_factor_r,max_drawdown_r,average_mfe_r,average_mae_r,median_r,long_trades,long_expectancy_r,short_trades,short_expectancy_r,first_entry_time,last_exit_time
NestedPullback,PULLBACK,Full window,market_phase,UNCLASSIFIED,MODERATE_SAMPLE,75,30,45,0.400000,9.419200,0.125589,1.227764,9.198500,1.148612,-0.758509,-0.966800,40,0.378812,35,-0.163809,2025.03.05 15:45:00,2026.07.16 05:39:58
NestedPullback,PULLBACK,Full window,trend_strength,NORMAL,EXPLORATORY,33,11,22,0.333333,-0.469700,-0.014233,0.976479,6.000000,1.059230,-0.736506,-1.000000,14,0.439286,19,-0.348405,2025.03.05 15:45:00,2026.07.01 16:30:00
NestedPullback,PULLBACK,Full window,trend_strength,STRONG,INSUFFICIENT,5,1,4,0.200000,-1.745600,-0.349120,0.533960,2.000000,0.755020,-0.840740,-1.000000,3,0.000000,2,-0.872800,2025.03.27 13:45:00,2026.05.26 14:59:58
NestedPullback,PULLBACK,Full window,trend_strength,WEAK,MODERATE_SAMPLE,98,34,64,0.346939,-0.612700,-0.006252,0.989371,17.389200,1.150728,-0.841349,-1.000000,48,0.312958,50,-0.312694,2025.03.11 12:10:00,2026.07.22 04:09:58
NestedPullback,PULLBACK,Full window,volatility,CONTRACTING,EXPLORATORY,21,5,16,0.238095,-8.329300,-0.396633,0.421548,8.329300,0.899829,-0.946014,-1.000000,10,0.066750,11,-0.817891,2025.03.25 21:15:00,2026.06.15 05:15:00
NestedPullback,PULLBACK,Full window,volatility,EXPANDING,MODERATE_SAMPLE,69,27,42,0.391304,8.554200,0.123974,1.222036,9.810800,1.202665,-0.788025,-0.832600,33,0.324482,36,-0.059825,2025.03.05 15:45:00,2026.07.10 17:34:58
NestedPullback,PULLBACK,Full window,volatility,NORMAL,EXPLORATORY,46,14,32,0.304348,-3.052900,-0.066367,0.892620,11.157300,1.078711,-0.798274,-1.000000,22,0.445300,24,-0.535396,2025.03.11 12:10:00,2026.07.22 04:09:58
SlowBreakout,BREAKOUT,Full window,alignment,FULLY_ALIGNED,STRONGER_DESCRIPTIVE_SAMPLE,116,36,80,0.310345,1.132400,0.009762,1.018227,12.976700,1.137622,-1.038478,-0.667750,60,0.087693,56,-0.073736,2025.03.07 08:30:00,2026.07.21 04:20:00
SlowBreakout,BREAKOUT,Full window,alignment,OPPOSED,STRONGER_DESCRIPTIVE_SAMPLE,168,56,112,0.333333,-3.266600,-0.019444,0.963058,12.787200,1.056130,-0.792299,-0.640350,86,0.121123,82,-0.166868,2025.03.03 01:00:00,2026.07.23 23:59:59
SlowBreakout,BREAKOUT,Full window,alignment,PARTIALLY_ALIGNED,MODERATE_SAMPLE,53,20,33,0.377358,-2.292200,-0.043249,0.909099,6.722600,1.536674,-0.801123,-0.339400,27,-0.039022,26,-0.047638,2025.03.24 05:55:00,2026.06.19 17:15:00
SlowBreakout,BREAKOUT,Full window,direction,BEARISH,STRONGER_DESCRIPTIVE_SAMPLE,170,53,117,0.311765,-10.738300,-0.063166,0.879134,20.976100,1.000975,-0.871912,-0.570250,69,-0.024542,101,-0.089553,2025.03.03 01:00:00,2026.07.17 18:05:00
SlowBreakout,BREAKOUT,Full window,direction,BULLISH,STRONGER_DESCRIPTIVE_SAMPLE,167,59,108,0.353293,6.311900,0.037796,1.072613,17.834200,1.321389,-0.885055,-0.514500,104,0.156904,63,-0.158827,2025.03.18 22:00:00,2026.07.23 23:59:59
SlowBreakout,BREAKOUT,Full window,market_phase,BREAKOUT,INSUFFICIENT,3,0,3,0.000000,-2.476100,-0.825367,0.000000,2.476100,0.382167,-0.925233,-1.000000,2,-0.738050,1,-1.000000,2025.05.30 15:10:00,2025.12.08 09:50:00
SlowBreakout,BREAKOUT,Full window,market_phase,COMPRESSION,INSUFFICIENT,8,3,5,0.375000,-0.847300,-0.105912,0.746742,2.345600,0.905562,-0.505537,-0.172800,4,0.004275,4,-0.216100,2025.06.02 01:00:00,2026.07.01 16:30:00
SlowBreakout,BREAKOUT,Full window,market_phase,PULLBACK,MODERATE_SAMPLE,68,22,46,0.323529,-2.191400,-0.032226,0.942802,11.080600,1.152850,-0.933365,-0.841800,32,0.002244,36,-0.062867,2025.03.25 03:30:00,2026.07.21 04:39:58
SlowBreakout,BREAKOUT,Full window,market_phase,TRANSITION,INSUFFICIENT,3,0,3,0.000000,-2.527800,-0.842600,0.000000,2.527800,0.314367,-1.114300,-1.000000,2,-1.000000,1,-0.527800,2025.05.30 01:50:00,2026.03.12 18:14:58
SlowBreakout,BREAKOUT,Full window,market_phase,TREND_CONTINUATION,MODERATE_SAMPLE,92,29,63,0.315217,0.394600,0.004289,1.008075,9.633200,1.126066,-0.936648,-0.673200,45,0.121822,47,-0.108243,2025.03.07 08:30:00,2026.07.10 16:25:00
SlowBreakout,BREAKOUT,Full window,market_phase,UNCLASSIFIED,STRONGER_DESCRIPTIVE_SAMPLE,163,58,105,0.355828,3.221600,0.019764,1.040149,13.521400,1.223998,-0.835742,-0.418200,88,0.142384,75,-0.124109,2025.03.03 01:00:00,2026.07.23 23:59:59
SlowBreakout,BREAKOUT,Full window,trend_strength,NORMAL,MODERATE_SAMPLE,71,20,51,0.281690,-7.482600,-0.105389,0.805948,16.029000,1.489901,-1.005076,-0.584400,33,0.006667,38,-0.202700,2025.03.06 13:30:00,2026.07.21 04:39:58
SlowBreakout,BREAKOUT,Full window,trend_strength,STRONG,INSUFFICIENT,11,5,6,0.454545,-0.218700,-0.019882,0.951735,2.614200,0.964400,-0.665964,-0.231100,7,-0.098214,4,0.117200,2025.03.03 01:00:00,2026.07.16 05:39:58
