strategy,family,regime_dimension,regime_value,period,trades,cumulative_r,expectancy_r
NestedPullback,PULLBACK,market_phase,TREND_CONTINUATION,2026-Q1,14,-3.444500,-0.246036
NestedPullback,PULLBACK,market_phase,TREND_CONTINUATION,2026-Q2,2,-0.919300,-0.459650
NestedPullback,PULLBACK,market_phase,UNCLASSIFIED,2025-Q1,8,1.000000,0.125000
NestedPullback,PULLBACK,market_phase,UNCLASSIFIED,2025-Q2,13,-0.802800,-0.061754
NestedPullback,PULLBACK,market_phase,UNCLASSIFIED,2025-Q3,13,-0.642400,-0.049415
NestedPullback,PULLBACK,market_phase,UNCLASSIFIED,2025-Q4,12,1.168600,0.097383
NestedPullback,PULLBACK,market_phase,UNCLASSIFIED,2026-Q1,9,3.167400,0.351933
NestedPullback,PULLBACK,market_phase,UNCLASSIFIED,2026-Q2,17,2.528400,0.148729
NestedPullback,PULLBACK,market_phase,UNCLASSIFIED,2026-Q3,3,3.000000,1.000000
NestedPullback,PULLBACK,trend_strength,NORMAL,2025-Q1,2,1.000000,0.500000
NestedPullback,PULLBACK,trend_strength,NORMAL,2025-Q2,7,-2.470300,-0.352900
NestedPullback,PULLBACK,trend_strength,NORMAL,2025-Q3,5,1.000000,0.200000
NestedPullback,PULLBACK,trend_strength,NORMAL,2025-Q4,6,2.031000,0.338500
NestedPullback,PULLBACK,trend_strength,NORMAL,2026-Q1,7,-1.000000,-0.142857
NestedPullback,PULLBACK,trend_strength,NORMAL,2026-Q2,6,-1.030400,-0.171733
NestedPullback,PULLBACK,trend_strength,STRONG,2025-Q1,1,-1.000000,-1.000000
NestedPullback,PULLBACK,trend_strength,STRONG,2025-Q3,2,1.000000,0.500000
NestedPullback,PULLBACK,trend_strength,STRONG,2025-Q4,1,-0.745600,-0.745600
NestedPullback,PULLBACK,trend_strength,STRONG,2026-Q2,1,-1.000000,-1.000000
NestedPullback,PULLBACK,trend_strength,WEAK,2025-Q1,5,1.000000,0.200000
NestedPullback,PULLBACK,trend_strength,WEAK,2025-Q2,16,-7.305700,-0.456606
NestedPullback,PULLBACK,trend_strength,WEAK,2025-Q3,22,-0.471700,-0.021441
NestedPullback,PULLBACK,trend_strength,WEAK,2025-Q4,15,-2.611800,-0.174120
NestedPullback,PULLBACK,trend_strength,WEAK,2026-Q1,19,0.722900,0.038047
NestedPullback,PULLBACK,trend_strength,WEAK,2026-Q2,15,5.609100,0.373940
NestedPullback,PULLBACK,trend_strength,WEAK,2026-Q3,6,2.444500,0.407417
NestedPullback,PULLBACK,volatility,CONTRACTING,2025-Q1,1,-1.000000,-1.000000
NestedPullback,PULLBACK,volatility,CONTRACTING,2025-Q2,6,-4.332500,-0.722083
NestedPullback,PULLBACK,volatility,CONTRACTING,2025-Q3,5,-0.958100,-0.191620
NestedPullback,PULLBACK,volatility,CONTRACTING,2026-Q1,5,1.000000,0.200000
NestedPullback,PULLBACK,volatility,CONTRACTING,2026-Q2,4,-3.038700,-0.759675
NestedPullback,PULLBACK,volatility,EXPANDING,2025-Q1,5,-2.000000,-0.400000
NestedPullback,PULLBACK,volatility,EXPANDING,2025-Q2,12,-0.443500,-0.036958
NestedPullback,PULLBACK,volatility,EXPANDING,2025-Q3,15,-0.513600,-0.034240
NestedPullback,PULLBACK,volatility,EXPANDING,2025-Q4,11,2.400700,0.218245
NestedPullback,PULLBACK,volatility,EXPANDING,2026-Q1,13,2.167400,0.166723
NestedPullback,PULLBACK,volatility,EXPANDING,2026-Q2,10,2.239400,0.223940
NestedPullback,PULLBACK,volatility,EXPANDING,2026-Q3,3,4.703800,1.567933
NestedPullback,PULLBACK,volatility,NORMAL,2025-Q1,2,4.000000,2.000000
NestedPullback,PULLBACK,volatility,NORMAL,2025-Q2,5,-5.000000,-1.000000
NestedPullback,PULLBACK,volatility,NORMAL,2025-Q3,9,3.000000,0.333333
NestedPullback,PULLBACK,volatility,NORMAL,2025-Q4,11,-3.727100,-0.338827
NestedPullback,PULLBACK,volatility,NORMAL,2026-Q1,8,-3.444500,-0.430563
NestedPullback,PULLBACK,volatility,NORMAL,2026-Q2,8,4.378000,0.547250
NestedPullback,PULLBACK,volatility,NORMAL,2026-Q3,3,-2.259300,-0.753100
SlowBreakout,BREAKOUT,alignment,FULLY_ALIGNED,2025-Q1,2,4.000000,2.000000
SlowBreakout,BREAKOUT,alignment,FULLY_ALIGNED,2025-Q2,14,-4.017800,-0.286986
SlowBreakout,BREAKOUT,alignment,FULLY_ALIGNED,2025-Q3,24,3.658200,0.152425
SlowBreakout,BREAKOUT,alignment,FULLY_ALIGNED,2025-Q4,29,-0.546800,-0.018855
SlowBreakout,BREAKOUT,alignment,FULLY_ALIGNED,2026-Q1,22,-7.467100,-0.339414
SlowBreakout,BREAKOUT,alignment,FULLY_ALIGNED,2026-Q2,21,2.588700,0.123271
SlowBreakout,BREAKOUT,alignment,FULLY_ALIGNED,2026-Q3,4,2.917200,0.729300
SlowBreakout,BREAKOUT,alignment,OPPOSED,2025-Q1,9,-1.654700,-0.183856
SlowBreakout,BREAKOUT,alignment,OPPOSED,2025-Q2,27,-6.250800,-0.231511
SlowBreakout,BREAKOUT,alignment,OPPOSED,2025-Q3,37,3.811600,0.103016
SlowBreakout,BREAKOUT,alignment,OPPOSED,2025-Q4,38,-2.086400,-0.054905
SlowBreakout,BREAKOUT,alignment,OPPOSED,2026-Q1,16,3.891900,0.243244
SlowBreakout,BREAKOUT,alignment,OPPOSED,2026-Q2,32,-2.071500,-0.064734
SlowBreakout,BREAKOUT,alignment,OPPOSED,2026-Q3,9,1.093300,0.121478
SlowBreakout,BREAKOUT,alignment,PARTIALLY_ALIGNED,2025-Q1,3,0.239300,0.079767
SlowBreakout,BREAKOUT,alignment,PARTIALLY_ALIGNED,2025-Q2,9,-2.028600,-0.225400
SlowBreakout,BREAKOUT,alignment,PARTIALLY_ALIGNED,2025-Q3,13,1.808800,0.139138
SlowBreakout,BREAKOUT,alignment,PARTIALLY_ALIGNED,2025-Q4,12,-0.377500,-0.031458
SlowBreakout,BREAKOUT,alignment,PARTIALLY_ALIGNED,2026-Q1,5,1.462700,0.292540
SlowBreakout,BREAKOUT,alignment,PARTIALLY_ALIGNED,2026-Q2,11,-3.396900,-0.308809
SlowBreakout,BREAKOUT,direction,BEARISH,2025-Q1,8,3.358000,0.419750
