strategy,family,window,regime_dimension,regime_value,sample_label,trades,wins,losses,win_rate,cumulative_r,expectancy_r,profit_factor_r,max_drawdown_r,average_mfe_r,average_mae_r,median_r,long_trades,long_expectancy_r,short_trades,short_expectancy_r,first_entry_time,last_exit_time
MedSlowContext,CONTEXT,Validation,direction,BEARISH,MODERATE_SAMPLE,58,19,39,0.327586,-1.267300,-0.021850,0.958914,12.931900,1.104933,-0.866400,-0.544650,19,-0.014679,39,-0.025344,2026.01.07 17:15:00,2026.04.27 18:04:58
MedSlowContext,CONTEXT,Validation,direction,BULLISH,EXPLORATORY,44,18,26,0.409091,7.098200,0.161323,1.312315,7.613100,1.259034,-0.792098,-0.588900,22,-0.081886,22,0.404532,2026.01.07 18:30:00,2026.04.28 13:59:58
MedSlowContext,CONTEXT,Validation,market_phase,PULLBACK,EXPLORATORY,23,10,13,0.434783,2.364200,0.102791,1.214818,4.008200,1.105087,-0.854391,-0.323300,7,-0.089014,16,0.186706,2026.01.08 12:00:00,2026.04.23 08:34:57
MedSlowContext,CONTEXT,Validation,market_phase,TREND_CONTINUATION,EXPLORATORY,30,10,20,0.333333,-1.245500,-0.041517,0.929261,11.035600,1.179350,-0.830943,-1.000000,15,0.039940,15,-0.122973,2026.01.16 17:40:00,2026.04.27 08:34:58
MedSlowContext,CONTEXT,Validation,market_phase,UNCLASSIFIED,EXPLORATORY,49,17,32,0.346939,4.712200,0.096167,1.188789,6.322900,1.197676,-0.827024,-0.463500,19,-0.108232,30,0.225620,2026.01.07 17:15:00,2026.04.28 13:59:58
MedSlowContext,CONTEXT,Validation,trend_strength,NORMAL,EXPLORATORY,26,6,20,0.230769,-4.351100,-0.167350,0.713630,12.351100,0.862404,-0.831281,-0.671200,9,-0.133778,17,-0.185124,2026.01.16 17:40:00,2026.04.28 13:59:58
MedSlowContext,CONTEXT,Validation,trend_strength,STRONG,INSUFFICIENT,4,4,0,1.000000,6.104500,1.526125,inf,0.000000,1.755200,-0.526250,2.000000,1,2.000000,3,1.368167,2026.02.04 03:15:00,2026.04.23 07:50:00
MedSlowContext,CONTEXT,Validation,trend_strength,WEAK,MODERATE_SAMPLE,72,27,45,0.375000,4.077500,0.056632,1.106244,14.786700,1.250560,-0.852572,-0.592250,31,-0.092787,41,0.169607,2026.01.07 17:15:00,2026.04.27 06:40:00
MedSlowContext,CONTEXT,Validation,volatility,CONTRACTING,EXPLORATORY,23,9,14,0.391304,5.832200,0.253574,1.562102,3.934200,1.431722,-0.909252,-0.289900,10,-0.112960,13,0.535523,2026.01.08 02:25:00,2026.04.28 13:59:58
MedSlowContext,CONTEXT,Validation,volatility,EXPANDING,EXPLORATORY,36,16,20,0.444444,8.068600,0.224128,1.468046,10.000000,1.163367,-0.742122,-0.303350,13,0.593631,23,0.015278,2026.01.07 17:15:00,2026.04.24 17:14:58
