strategy,family,regime_dimension,regime_value,period,trades,cumulative_r,expectancy_r
WeightedEnsemble,ENSEMBLE,trend_strength,NORMAL,2025-07,5,-0.075300,-0.015060
WeightedEnsemble,ENSEMBLE,trend_strength,NORMAL,2025-08,4,8.000000,2.000000
WeightedEnsemble,ENSEMBLE,trend_strength,NORMAL,2025-10,3,-1.154500,-0.384833
WeightedEnsemble,ENSEMBLE,trend_strength,NORMAL,2025-11,1,-1.000000,-1.000000
WeightedEnsemble,ENSEMBLE,trend_strength,NORMAL,2025-12,7,6.237800,0.891114
WeightedEnsemble,ENSEMBLE,trend_strength,NORMAL,2026-01,3,6.000000,2.000000
WeightedEnsemble,ENSEMBLE,trend_strength,NORMAL,2026-02,1,-0.307800,-0.307800
WeightedEnsemble,ENSEMBLE,trend_strength,NORMAL,2026-03,6,0.000000,0.000000
WeightedEnsemble,ENSEMBLE,trend_strength,NORMAL,2026-04,2,-2.000000,-1.000000
WeightedEnsemble,ENSEMBLE,trend_strength,NORMAL,2026-05,7,2.188900,0.312700
WeightedEnsemble,ENSEMBLE,trend_strength,NORMAL,2026-06,6,2.362900,0.393817
WeightedEnsemble,ENSEMBLE,trend_strength,NORMAL,2026-07,2,1.000000,0.500000
WeightedEnsemble,ENSEMBLE,trend_strength,STRONG,2025-03,1,-1.000000,-1.000000
WeightedEnsemble,ENSEMBLE,trend_strength,STRONG,2025-05,2,1.786700,0.893350
WeightedEnsemble,ENSEMBLE,trend_strength,STRONG,2025-06,1,-0.322000,-0.322000
WeightedEnsemble,ENSEMBLE,trend_strength,STRONG,2025-07,2,-1.143900,-0.571950
WeightedEnsemble,ENSEMBLE,trend_strength,STRONG,2025-08,1,2.000000,2.000000
WeightedEnsemble,ENSEMBLE,trend_strength,STRONG,2025-12,1,-0.623500,-0.623500
WeightedEnsemble,ENSEMBLE,trend_strength,STRONG,2026-05,1,-1.000000,-1.000000
WeightedEnsemble,ENSEMBLE,trend_strength,STRONG,2026-07,2,-0.964600,-0.482300
WeightedEnsemble,ENSEMBLE,trend_strength,WEAK,2025-03,13,9.438100,0.726008
WeightedEnsemble,ENSEMBLE,trend_strength,WEAK,2025-04,11,2.818700,0.256245
WeightedEnsemble,ENSEMBLE,trend_strength,WEAK,2025-05,18,-5.382900,-0.299050
WeightedEnsemble,ENSEMBLE,trend_strength,WEAK,2025-06,10,-4.449900,-0.444990
WeightedEnsemble,ENSEMBLE,trend_strength,WEAK,2025-07,14,0.473500,0.033821
WeightedEnsemble,ENSEMBLE,trend_strength,WEAK,2025-08,14,-4.940800,-0.352914
WeightedEnsemble,ENSEMBLE,trend_strength,WEAK,2025-09,5,4.585700,0.917140
WeightedEnsemble,ENSEMBLE,trend_strength,WEAK,2025-10,8,0.696500,0.087063
WeightedEnsemble,ENSEMBLE,trend_strength,WEAK,2025-11,12,-4.209200,-0.350767
WeightedEnsemble,ENSEMBLE,trend_strength,WEAK,2025-12,17,-2.300500,-0.135324
WeightedEnsemble,ENSEMBLE,trend_strength,WEAK,2026-01,6,0.923100,0.153850
WeightedEnsemble,ENSEMBLE,trend_strength,WEAK,2026-02,9,4.771600,0.530178
WeightedEnsemble,ENSEMBLE,trend_strength,WEAK,2026-03,12,-0.983600,-0.081967
WeightedEnsemble,ENSEMBLE,trend_strength,WEAK,2026-04,12,2.979200,0.248267
WeightedEnsemble,ENSEMBLE,trend_strength,WEAK,2026-05,15,-0.158300,-0.010553
WeightedEnsemble,ENSEMBLE,trend_strength,WEAK,2026-06,7,-4.280200,-0.611457
WeightedEnsemble,ENSEMBLE,trend_strength,WEAK,2026-07,7,-0.112300,-0.016043
WeightedEnsemble,ENSEMBLE,volatility,CONTRACTING,2025-03,2,-2.000000,-1.000000
WeightedEnsemble,ENSEMBLE,volatility,CONTRACTING,2025-04,2,-1.805500,-0.902750
WeightedEnsemble,ENSEMBLE,volatility,CONTRACTING,2025-05,4,0.827800,0.206950
WeightedEnsemble,ENSEMBLE,volatility,CONTRACTING,2025-06,1,-1.000000,-1.000000
WeightedEnsemble,ENSEMBLE,volatility,CONTRACTING,2025-08,6,-4.062000,-0.677000
WeightedEnsemble,ENSEMBLE,volatility,CONTRACTING,2025-09,1,2.000000,2.000000
WeightedEnsemble,ENSEMBLE,volatility,CONTRACTING,2025-10,1,2.000000,2.000000
WeightedEnsemble,ENSEMBLE,volatility,CONTRACTING,2025-11,1,-1.000000,-1.000000
WeightedEnsemble,ENSEMBLE,volatility,CONTRACTING,2025-12,5,-3.933300,-0.786660
WeightedEnsemble,ENSEMBLE,volatility,CONTRACTING,2026-01,1,-0.437500,-0.437500
WeightedEnsemble,ENSEMBLE,volatility,CONTRACTING,2026-02,4,-0.029200,-0.007300
WeightedEnsemble,ENSEMBLE,volatility,CONTRACTING,2026-03,3,0.000000,0.000000
WeightedEnsemble,ENSEMBLE,volatility,CONTRACTING,2026-04,1,2.000000,2.000000
WeightedEnsemble,ENSEMBLE,volatility,CONTRACTING,2026-05,3,-2.921700,-0.973900
WeightedEnsemble,ENSEMBLE,volatility,CONTRACTING,2026-06,2,-1.038700,-0.519350
WeightedEnsemble,ENSEMBLE,volatility,CONTRACTING,2026-07,1,0.035400,0.035400
WeightedEnsemble,ENSEMBLE,volatility,EXPANDING,2025-03,11,5.438100,0.494373
WeightedEnsemble,ENSEMBLE,volatility,EXPANDING,2025-04,11,4.375600,0.397782
WeightedEnsemble,ENSEMBLE,volatility,EXPANDING,2025-05,14,0.576000,0.041143
WeightedEnsemble,ENSEMBLE,volatility,EXPANDING,2025-06,4,-0.149900,-0.037475
WeightedEnsemble,ENSEMBLE,volatility,EXPANDING,2025-07,13,-1.745700,-0.134285
WeightedEnsemble,ENSEMBLE,volatility,EXPANDING,2025-08,5,5.886500,1.177300
WeightedEnsemble,ENSEMBLE,volatility,EXPANDING,2025-09,3,0.585700,0.195233
WeightedEnsemble,ENSEMBLE,volatility,EXPANDING,2025-10,3,-2.230200,-0.743400
WeightedEnsemble,ENSEMBLE,volatility,EXPANDING,2025-11,6,-2.051000,-0.341833
WeightedEnsemble,ENSEMBLE,volatility,EXPANDING,2025-12,12,8.233900,0.686158
WeightedEnsemble,ENSEMBLE,volatility,EXPANDING,2026-01,5,4.000000,0.800000
WeightedEnsemble,ENSEMBLE,volatility,EXPANDING,2026-02,3,1.493000,0.497667
WeightedEnsemble,ENSEMBLE,volatility,EXPANDING,2026-03,7,2.000000,0.285714
WeightedEnsemble,ENSEMBLE,volatility,EXPANDING,2026-04,6,0.496100,0.082683
WeightedEnsemble,ENSEMBLE,volatility,EXPANDING,2026-05,10,0.314100,0.031410
WeightedEnsemble,ENSEMBLE,volatility,EXPANDING,2026-06,6,-1.481900,-0.246983
WeightedEnsemble,ENSEMBLE,volatility,EXPANDING,2026-07,7,1.423900,0.203414
WeightedEnsemble,ENSEMBLE,volatility,NORMAL,2025-03,4,5.000000,1.250000
WeightedEnsemble,ENSEMBLE,volatility,NORMAL,2025-04,3,0.358700,0.119567
WeightedEnsemble,ENSEMBLE,volatility,NORMAL,2025-05,6,-5.205200,-0.867533
WeightedEnsemble,ENSEMBLE,volatility,NORMAL,2025-06,7,-3.092300,-0.441757
WeightedEnsemble,ENSEMBLE,volatility,NORMAL,2025-07,8,1.000000,0.125000
WeightedEnsemble,ENSEMBLE,volatility,NORMAL,2025-08,8,3.234700,0.404338
WeightedEnsemble,ENSEMBLE,volatility,NORMAL,2025-09,1,2.000000,2.000000
WeightedEnsemble,ENSEMBLE,volatility,NORMAL,2025-10,7,-0.227800,-0.032543
WeightedEnsemble,ENSEMBLE,volatility,NORMAL,2025-11,6,-2.158200,-0.359700
WeightedEnsemble,ENSEMBLE,volatility,NORMAL,2025-12,8,-0.986800,-0.123350
WeightedEnsemble,ENSEMBLE,volatility,NORMAL,2026-01,3,3.360600,1.120200
WeightedEnsemble,ENSEMBLE,volatility,NORMAL,2026-02,3,3.000000,1.000000
WeightedEnsemble,ENSEMBLE,volatility,NORMAL,2026-03,8,-2.983600,-0.372950
WeightedEnsemble,ENSEMBLE,volatility,NORMAL,2026-04,7,-1.516900,-0.216700
WeightedEnsemble,ENSEMBLE,volatility,NORMAL,2026-05,10,3.638200,0.363820
WeightedEnsemble,ENSEMBLE,volatility,NORMAL,2026-06,5,0.603300,0.120660
WeightedEnsemble,ENSEMBLE,volatility,NORMAL,2026-07,3,-1.536200,-0.512067
