server_time,new_york_time,open,high,low,close,tick_volume,or_ready,or_high,or_low,squeeze_on,squeeze_release,squeeze_bars,momentum,momentum_delta,release_bias,setup_state,strategy_signal,hyp_entry,hyp_stop,hyp_target
2026.07.13 23:25,2026.07.13 16:25,29249.6,29258.6,29244.6,29254.1,568,0,0.0,0.0,0,0,0,-22.67421429,2.04889286,0,0,0,0.0,0.0,0.0
2026.07.13 23:30,2026.07.13 16:30,29254.1,29254.3,29241.7,29250.3,584,1,29553.3,29370.6,0,0,0,-20.36621429,2.30800000,0,0,0,0.0,0.0,0.0
2026.07.13 23:35,2026.07.13 16:35,29250.2,29255.1,29247.8,29254.1,415,1,29553.3,29370.6,0,0,0,-17.66460714,2.70160714,0,0,0,0.0,0.0,0.0
