regime_direction,trend_strength,volatility_state,alignment_state,market_phase,bar_count,bar_pct_of_window,trade_count,expectancy_r,total_r,trades_per_1000_bars
BULLISH,NORMAL,NORMAL,PARTIALLY_ALIGNED,UNCLASSIFIED,126,0.1273,2,3.0,6.0,15.873
BEARISH,NORMAL,CONTRACTING,FULLY_ALIGNED,COMPRESSION,121,0.1223,0,,,0.0
BEARISH,NORMAL,CONTRACTING,OPPOSED,PULLBACK,114,0.1152,0,,,0.0
BEARISH,STRONG,EXPANDING,OPPOSED,UNCLASSIFIED,93,0.094,1,-0.6235,-0.6235,10.7527
BULLISH,WEAK,NORMAL,PARTIALLY_ALIGNED,COMPRESSION,91,0.092,4,0.75,3.0,43.956
BEARISH,NORMAL,CONTRACTING,PARTIALLY_ALIGNED,UNCLASSIFIED,83,0.0839,0,,,0.0
BEARISH,STRONG,CONTRACTING,FULLY_ALIGNED,UNCLASSIFIED,79,0.0798,0,,,0.0
BEARISH,WEAK,CONTRACTING,PARTIALLY_ALIGNED,COMPRESSION,72,0.0728,2,-1.0,-2.0,27.7778
BULLISH,WEAK,NORMAL,PARTIALLY_ALIGNED,TRANSITION,66,0.0667,0,,,0.0
BULLISH,NORMAL,CONTRACTING,OPPOSED,COMPRESSION,64,0.0647,0,,,0.0
BULLISH,WEAK,EXPANDING,PARTIALLY_ALIGNED,TRANSITION,55,0.0556,0,,,0.0
BULLISH,STRONG,CONTRACTING,OPPOSED,UNCLASSIFIED,51,0.0515,0,,,0.0
BULLISH,NORMAL,CONTRACTING,PARTIALLY_ALIGNED,UNCLASSIFIED,40,0.0404,0,,,0.0
BULLISH,STRONG,NORMAL,OPPOSED,PULLBACK,37,0.0374,1,-1.0,-1.0,27.027
BULLISH,STRONG,CONTRACTING,FULLY_ALIGNED,UNCLASSIFIED,37,0.0374,0,,,0.0
BEARISH,NORMAL,CONTRACTING,OPPOSED,COMPRESSION,36,0.0364,0,,,0.0
BULLISH,STRONG,EXPANDING,OPPOSED,PULLBACK,36,0.0364,2,1.0,2.0,55.5556
BULLISH,STRONG,EXPANDING,PARTIALLY_ALIGNED,UNCLASSIFIED,33,0.0334,0,,,0.0
BULLISH,WEAK,CONTRACTING,PARTIALLY_ALIGNED,COMPRESSION,30,0.0303,2,1.0,2.0,66.6667
BEARISH,NORMAL,NORMAL,PARTIALLY_ALIGNED,COMPRESSION,29,0.0293,0,,,0.0
BULLISH,NORMAL,NORMAL,PARTIALLY_ALIGNED,COMPRESSION,29,0.0293,0,,,0.0
BEARISH,STRONG,NORMAL,OPPOSED,UNCLASSIFIED,27,0.0273,0,,,0.0
BEARISH,WEAK,EXPANDING,PARTIALLY_ALIGNED,TRANSITION,26,0.0263,0,,,0.0
BEARISH,WEAK,CONTRACTING,PARTIALLY_ALIGNED,TRANSITION,25,0.0253,0,,,0.0
BEARISH,WEAK,NORMAL,FULLY_ALIGNED,BREAKOUT,25,0.0253,3,0.3333,1.0,120.0
BULLISH,WEAK,CONTRACTING,PARTIALLY_ALIGNED,TRANSITION,24,0.0243,0,,,0.0
BEARISH,WEAK,NORMAL,PARTIALLY_ALIGNED,TRANSITION,21,0.0212,0,,,0.0
BULLISH,STRONG,CONTRACTING,FULLY_ALIGNED,COMPRESSION,21,0.0212,0,,,0.0
BULLISH,WEAK,NORMAL,FULLY_ALIGNED,BREAKOUT,21,0.0212,6,0.1667,1.0,285.7143
BULLISH,STRONG,CONTRACTING,OPPOSED,PULLBACK,21,0.0212,0,,,0.0
BULLISH,NORMAL,NORMAL,PARTIALLY_ALIGNED,TRANSITION,20,0.0202,0,,,0.0
BEARISH,WEAK,EXPANDING,FULLY_ALIGNED,BREAKOUT,19,0.0192,3,0.4066,1.2199,157.8947
BULLISH,NORMAL,CONTRACTING,PARTIALLY_ALIGNED,TRANSITION,15,0.0152,0,,,0.0
BEARISH,STRONG,EXPANDING,OPPOSED,PULLBACK,14,0.0141,1,-0.152,-0.152,71.4286
BULLISH,WEAK,EXPANDING,FULLY_ALIGNED,BREAKOUT,13,0.0131,3,-1.0,-3.0,230.7692
BEARISH,STRONG,NORMAL,PARTIALLY_ALIGNED,UNCLASSIFIED,12,0.0121,0,,,0.0
BEARISH,WEAK,CONTRACTING,FULLY_ALIGNED,BREAKOUT,12,0.0121,3,-1.0,-3.0,250.0
BULLISH,STRONG,NORMAL,OPPOSED,COMPRESSION,10,0.0101,0,,,0.0
BEARISH,STRONG,CONTRACTING,OPPOSED,PULLBACK,10,0.0101,1,0.0354,0.0354,100.0
BEARISH,WEAK,NORMAL,PARTIALLY_ALIGNED,BREAKOUT,10,0.0101,3,-1.0,-3.0,300.0
BULLISH,NORMAL,NORMAL,FULLY_ALIGNED,BREAKOUT,9,0.0091,3,0.6536,1.9608,333.3333
