portfolio,duplicate_logical_ids,cross_family_actions,actual_risk_exceeds_cap,max_observed_portfolio_risk_pct,account_mode
P3_SR3,0,0,0,0.49972,HEDGING
P4_SR3,0,0,0,0.49970,HEDGING
