strategy,family,scope,trades,wins,losses,win_rate,cumulative_r,expectancy_r,profit_factor_r,max_drawdown_r,median_r,average_mfe_r,average_mae_r,median_hold_bars,p90_hold_bars,wall_clock_exposure_pct,long_trades,long_expectancy_r,short_trades,short_expectancy_r,first_entry_time,last_exit_time
AlignedFastPullback,PULLBACK,Full window,110,33,77,0.300000,-6.928800,-0.062989,0.902338,17.681000,-1.000000,1.093285,-0.940623,22.000000,300.300000,10.913554,57,0.164668,53,-0.307828,2025.03.05 15:45:00,2026.07.16 15:14:57
BreakoutRetest,RETEST,Full window,354,105,249,0.296610,-37.775900,-0.106712,0.846951,49.518900,-1.000000,1.202243,-1.113279,2.000000,15.000000,1.854488,160,-0.024789,194,-0.174277,2025.03.05 15:50:00,2026.07.21 04:39:58
SweepReclaim,REVERSAL,Full window,190,70,120,0.368421,28.611700,0.150588,1.268759,18.294100,-1.000000,1.300321,-0.929222,5.000000,40.200000,3.129484,96,0.080760,94,0.221901,2025.03.05 03:10:00,2026.07.16 15:19:58
CompressionBreakout,COMPRESSION,Full window,84,28,56,0.333333,-2.736700,-0.032580,0.935325,11.415100,-0.457800,0.946404,-0.749200,644.500000,3237.300000,64.622398,40,0.101628,44,-0.154586,2025.03.04 18:35:00,2026.07.22 05:34:58
StructureTransition,REVERSAL,Full window,21,6,15,0.285714,-2.189200,-0.104248,0.845714,8.000000,-1.000000,1.053643,-0.853186,88.000000,1535.000000,5.498682,9,0.090089,12,-0.250000,2025.03.24 23:05:00,2026.07.23 23:59:59
