variant,scope,trades,wins,losses,win_rate,cumulative_r,expectancy_r,profit_factor_r,max_drawdown_r,median_r,average_mfe_r,average_mae_r,median_hold_bars,p90_hold_bars,wall_clock_exposure_pct,long_trades,long_expectancy_r,short_trades,short_expectancy_r,first_entry_time,last_exit_time
2R,Full window,190,70,120,0.368421,28.611700,0.150588,1.268759,18.294100,-1.000000,1.300321,-0.929222,5.000000,40.200000,3.129484,96,0.080760,94,0.221901,2025.03.05 03:10:00,2026.07.16 15:19:58
3R,Full window,187,55,132,0.294118,24.358300,0.130258,1.204079,27.695200,-1.000000,1.511445,-1.028771,6.000000,70.400000,5.041964,94,0.084067,93,0.176946,2025.03.05 03:10:00,2026.07.16 15:44:58
