variant,trades,cumulative_r,excluding_top_1_r,excluding_top_3_r,excluding_top_5_r,excluding_best_quarter_r,excluding_best_two_quarters_r,positive_quarters,negative_quarters
2R,190,28.611700,26.611700,22.611700,18.611700,13.344900,3.484000,5,2
3R,187,24.358300,21.358300,15.358300,9.358300,-2.908500,-11.769400,5,2
