test,trades,total_r,expectancy_r,positive
development,249,-5.666299999999999,-0.022756224899598387,False
validation,78,21.0798,0.2702538461538461,True
holdout,62,-1.9877999999999993,-0.032061290322580635,False
long,176,3.466000000000001,0.019693181818181825,True
short,213,9.959700000000002,0.046759154929577475,True
top_3_exclusion,386,7.409200000000002,,True
best_quarter_exclusion,332,-7.658299999999997,,False
