logical_position_id,position_ticket,entry_deal_count,exit_deal_count,entry_volume,exit_volume,weighted_exit_price,reported_exit_price,reported_r,portfolio_reported_r,recomputed_r,volume_match,weighted_exit_match,r_match
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20250808,262,1,1,0.36,0.36000000,3400.76000000,3400.76,1.9985,1.9985380116958746,1.99853801,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20250811,264,1,1,0.52,0.52000000,3363.62000000,3363.62,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250812,266,1,1,0.88,0.88000000,3349.86000000,3349.86,2.0000,2.0,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20250812,268,1,1,0.65,0.65000000,3339.42000000,3339.42,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250813,270,1,1,0.98,0.98000000,3356.67000000,3356.67,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20250814,272,1,1,0.27,0.27000000,3348.94000000,3348.94,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250815,274,1,1,0.89,0.89000000,3340.49000000,3340.49,2.0036,2.003636363636443,2.00363636,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250819,276,1,1,0.84,0.84000000,3335.83000000,3335.83,2.0034,2.00338983050824,2.00338983,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250820,278,1,1,2.27,2.27000000,3321.44000000,3321.44,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20250821,280,1,1,1.05,1.05000000,3336.98000000,3336.98,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20250822,282,1,1,3.82,3.82000000,3327.73000000,3327.73,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250825,284,1,1,1.24,1.24000000,3373.11000000,3373.11,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250826,286,1,1,0.57,0.57000000,3389.52000000,3389.52,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250827,288,1,1,0.71,0.71000000,3395.90000000,3395.9,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250828,290,1,1,1.44,1.44000000,3400.24000000,3400.24,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20250829,292,1,1,3.03,3.03000000,3409.36000000,3409.36,2.0000,2.0000000000005613,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250829,294,1,1,1.13,1.13000000,3420.44000000,3420.44,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250901,296,1,1,0.83,0.83000000,3479.57000000,3479.57,2.0034,2.0033783783782986,2.00337838,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20250902,298,1,1,0.48,0.48000000,3471.92000000,3471.92,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250903,300,1,1,1.18,1.18000000,3548.12000000,3548.1199999999994,-1.0000,-0.9999999999997824,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250905,302,1,1,1.0,1.00000000,3553.87000000,3553.87,2.0000,2.0,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250908,304,1,1,1.0,1.00000000,3598.97000000,3598.97,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250909,306,1,1,1.37,1.37000000,3658.70000000,3658.7,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20250909,308,1,1,0.18,0.18000000,3626.50000000,3626.5,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250910,310,1,1,1.97,1.97000000,3644.29000000,3644.29,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20250911,312,1,1,0.32,0.32000000,3625.29000000,3625.2900000000004,-1.0000,-0.9999999999999388,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250912,314,1,1,1.55,1.55000000,3652.00000000,3652.0,1.9936,1.9936305732488466,1.99363057,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250916,316,1,1,0.58,0.58000000,3692.64000000,3692.64,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20250917,318,1,1,0.41,0.41000000,3670.75000000,3670.75,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250917,320,1,1,0.12,0.12000000,3647.72000000,3647.72,2.0000,2.0000000000000453,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20250918,322,1,1,0.38,0.38000000,3665.41000000,3665.41,2.0000,2.0,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250918,324,1,1,1.72,1.72000000,3668.79000000,3668.79,2.0070,2.006993006992522,2.00699301,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250919,326,1,1,0.7,0.70000000,3650.77000000,3650.77,2.0028,2.002840909090971,2.00284091,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250922,328,1,1,1.49,1.49000000,3697.95000000,3697.95,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250923,330,1,1,0.11,0.11000000,3778.69000000,3778.69,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250924,332,1,1,0.59,0.59000000,3762.09000000,3762.09,2.0024,2.00239234449766,2.00239234,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20250924,334,1,1,0.65,0.65000000,3749.03000000,3749.03,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250925,336,1,1,2.21,2.21000000,3752.50000000,3752.5,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20250925,338,1,1,0.2,0.20000000,3750.59000000,3750.59,1.3599,1.3598700243704558,1.35987002,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250926,340,1,1,0.68,0.68000000,3743.35000000,3743.35,2.0000,2.0000000000001257,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250929,342,1,1,0.42,0.42000000,3812.31000000,3812.3100000000004,-1.0000,-1.000000000000077,-1.00000000,true,true,true
