replay_mode;strategy_id;exit_model;cluster_id;direction;entry_time;exit_time;exit_reason;entry_price;initial_stop;initial_risk;gross_r;net_r_after_costs;mfe_until_exit_r;mae_until_exit_r;mfe_reference_horizon_r;mae_reference_horizon_r;bars_to_mfe;minutes_to_mfe;bars_held;minutes_held;surrender_r;pct_open_trade_mfe_captured;pct_reference_horizon_mfe_captured;number_of_trail_updates;final_stop;replay_price_mode;session;weekday;sequencing_ambiguous;skipped_while_occupied
SIGNAL_LEVEL;1010;SESSION_OVERNIGHT;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1778612400|MSZZ|XAUUSD|5|0|1|1778033400|1778033400;L;2026.05.12 19:05:00;2026.05.15 08:35:00;SL;4671.09000;4566.07000;105.02000;-1.0000;-1.0200;0.5335;-1.0225;0.5335;-1.9643;84;480;700;3690;1.5535;-1.9118;-1.9118;0;4566.07000;MSZZ_AMBIG_PESSIMISTIC;NewYork;Tuesday;false;false
SIGNAL_LEVEL;1010;SESSION_OVERNIGHT;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1778693100|MSZZ|XAUUSD|5|0|1|1778692200|1778692500;L;2026.05.13 17:30:00;2026.05.14 07:00:00;SL;4684.16000;4668.90000;15.26000;-1.0000;-1.0200;1.6927;-1.0524;2.2693;-15.1101;193;1025;151;810;2.7127;-0.6026;-0.4495;0;4668.90000;MSZZ_AMBIG_PESSIMISTIC;NewYork;Wednesday;false;false
SIGNAL_LEVEL;1010;SESSION_OVERNIGHT;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1778695200|MSZZ|XAUUSD|5|0|1|1778692200|1778692500;L;2026.05.13 18:05:00;2026.05.14 07:00:00;SL;4684.55000;4668.90000;15.65000;-1.0000;-1.0200;1.6256;-1.0511;2.1879;-14.7585;186;990;144;775;2.6456;-0.6275;-0.4662;0;4668.90000;MSZZ_AMBIG_PESSIMISTIC;NewYork;Wednesday;false;false
SIGNAL_LEVEL;1010;SESSION_OVERNIGHT;MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1778700600|MSZZ|XAUUSD|5|0|-1|1778644800|1778644800;S;2026.05.13 19:35:00;2026.05.13 20:30:00;TP;4704.08000;4709.58000;5.50000;2.0000;1.9800;2.4873;-0.0600;45.5455;-2.6745;1215;9270;12;55;0.5073;0.7961;0.0435;0;4709.58000;MSZZ_AMBIG_PESSIMISTIC;NewYork;Wednesday;false;false
SIGNAL_LEVEL;1010;SESSION_OVERNIGHT;MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1778731200|MSZZ|XAUUSD|5|0|-1|1778644800|1778644800;S;2026.05.14 04:05:00;2026.05.14 05:45:00;TP;4698.52000;4707.01000;8.49000;2.0000;1.9800;2.1072;-0.1331;28.8504;-2.3875;1125;8760;21;100;0.1272;0.9396;0.0686;0;4707.01000;MSZZ_AMBIG_PESSIMISTIC;Asian;Thursday;false;false
SIGNAL_LEVEL;1010;SESSION_OVERNIGHT;MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1778745300|MSZZ|XAUUSD|5|0|-1|1778644800|1778644800;S;2026.05.14 08:00:00;2026.05.14 08:55:00;TP;4702.50000;4707.31000;4.81000;2.0000;1.9800;2.7692;-0.3451;51.7505;-3.3867;1078;8525;12;55;0.7892;0.7150;0.0383;0;4707.31000;MSZZ_AMBIG_PESSIMISTIC;London;Thursday;false;false
SIGNAL_LEVEL;1010;SESSION_OVERNIGHT;MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1778756100|MSZZ|XAUUSD|5|0|-1|1778755800|1778755800;S;2026.05.14 11:00:00;2026.05.15 03:25:00;TP;4693.18000;4718.79000;25.61000;2.0000;1.9800;2.4764;-0.6564;9.3557;-0.6564;1042;8345;186;985;0.4964;0.7996;0.2116;0;4718.79000;MSZZ_AMBIG_PESSIMISTIC;London;Thursday;false;false
SIGNAL_LEVEL;1010;SESSION_OVERNIGHT;MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1778759400|MSZZ|XAUUSD|5|0|-1|1778755800|1778755800;S;2026.05.14 11:55:00;2026.05.14 15:20:00;SL;4694.69000;4706.60000;11.91000;-1.0000;-1.0200;0.5130;-1.0882;20.2443;-1.2846;1031;8290;42;205;1.5330;-1.9882;-0.0504;0;4706.60000;MSZZ_AMBIG_PESSIMISTIC;London;Thursday;false;false
SIGNAL_LEVEL;1010;SESSION_OVERNIGHT;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1778762400|MSZZ|XAUUSD|5|0|1|1778758500|1778758800;L;2026.05.14 12:45:00;2026.05.14 13:10:00;TP;4695.72000;4691.00000;4.72000;2.0000;1.9800;2.0614;-0.0403;3.0233;-51.3008;34;170;6;25;0.0814;0.9605;0.6549;0;4691.00000;MSZZ_AMBIG_PESSIMISTIC;London;Thursday;false;false
SIGNAL_LEVEL;1010;SESSION_OVERNIGHT;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1778771400|MSZZ|XAUUSD|5|0|1|1778769900|1778769900;L;2026.05.14 15:15:00;2026.05.14 16:25:00;SL;4703.95000;4689.53000;14.42000;-1.0000;-1.0200;0.4189;-1.1026;0.4189;-17.3627;4;20;15;70;1.4389;-2.4352;-2.4352;0;4689.53000;MSZZ_AMBIG_PESSIMISTIC;London;Thursday;false;false
