logical_position_id;book_id;strategy_id;family_id;magic;direction;entry_time;exit_time;entry_price;exit_price;logical_volume;initial_risk_price;execution_cost;realized_r;exit_policy;exit_reason;regime_snapshot_id
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1742586300|MSZZ|XAUUSD|5|0|1|1742583900|1742583900;1;1010;1;27084001;LONG;2025.03.21 19:50:00;2025.03.24 10:09:58;3014.13;3026.52;0.61;4.130000000000109;0.0;2.99999999999989;1;BROKER_SL_TP_OR_TEST_END;2025.03.24 10:00:00
MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1742898000|1742898000;2;1050;4;27124002;LONG;2025.03.25 11:15:00;2025.03.25 11:29:58;3013.68;3017.2799999999997;1.42;1.7999999999997272;0.0;2.0000000000002527;2;BROKER_SL_TP_OR_TEST_END;2025.03.25 11:20:00
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1742901600|1742901600;2;1050;4;27124002;SHORT;2025.03.25 15:20:00;2025.03.25 15:34:57;3016.43;3018.7;1.13;2.269999999999982;0.0;-1.0;2;BROKER_SL_TP_OR_TEST_END;2025.03.25 15:25:00
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1742919000|1742919300;2;1050;4;27124002;SHORT;2025.03.25 18:10:00;2025.03.25 18:14:58;3024.78;3021.0799999999995;1.3900000000000001;1.849999999999909;0.0;2.0000000000004916;2;BROKER_SL_TP_OR_TEST_END;2025.03.25 18:05:00
MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1742926200|1742926200;2;1050;4;27124002;LONG;2025.03.25 18:35:00;2025.03.25 21:39:57;3024.21;3018.04;0.41;6.170000000000073;0.0;-1.0;2;BROKER_SL_TP_OR_TEST_END;2025.03.25 21:30:00
MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1742987400|1742987400;2;1050;4;27124002;LONG;2025.03.26 14:40:00;2025.03.26 14:59:57;3029.68;3026.88;0.92;2.799999999999727;0.0;-1.0;2;BROKER_SL_TP_OR_TEST_END;2025.03.26 14:50:00
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1743081900|1743081900;2;1050;4;27124002;SHORT;2025.03.27 13:55:00;2025.03.27 14:19:57;3052.87;3054.68;1.42;1.8099999999999454;0.0;-1.0;2;BROKER_SL_TP_OR_TEST_END;2025.03.27 14:10:00
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1743083100|MSZZ|XAUUSD|5|0|1|1743081900|1743081900;1;1010;1;27084001;LONG;2025.03.27 13:50:00;2025.03.27 16:14:58;3054.4;3045.75;0.29;8.650000000000091;0.0;-1.0;1;BROKER_SL_TP_OR_TEST_END;2025.03.27 16:05:00
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1743081300|1743081300;2;1050;4;27124002;SHORT;2025.03.27 15:25:00;2025.03.27 16:24:58;3050.02;3041.54;0.6;4.2400000000002365;0.0;1.9999999999998928;2;BROKER_SL_TP_OR_TEST_END;2025.03.27 16:15:00
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1743095100|MSZZ|XAUUSD|5|0|-1|1743091800|1743091800;1;1010;1;27084001;SHORT;2025.03.27 17:10:00;2025.03.27 17:24:58;3043.12;3050.81;0.33;7.690000000000055;0.0;-1.0;1;BROKER_SL_TP_OR_TEST_END;2025.03.27 17:15:00
