strategy_id;family_id;setup_name;signal_time;expiry_time;direction;entry;stop;target;score;origin_id;event_id;reason;canonical_variant_id;hypothesis_version;regime_id;session_id;reference_level_type;structural_context;stop_distance_points;target_r;spread_to_risk_ratio
1202;10;Break-Retest Continuation;2025.03.05 09:45:00;2025.03.05 10:00:00;SHORT;2914.29;2917.70;2907.47;7.0000;BO|XAUUSD|5|1|S|1741166400|MSZZ|XAUUSD|5|1|-1|1741157700|1741159500;BRC|BO|XAUUSD|5|1|S|1741166400|MSZZ|XAUUSD|5|1|-1|1741157700|1741159500|1741166400|FINAL;confirmed medium-structure break, frozen-window retest, close through rejection bar extreme;BRC-CANON-1;D031v1;2025.03.05 09:45:00;London;MEDIUM_SWING_HIGH_LOW;break_level=2917.61143;bars_since_break=5;341.00;2.0000;0.029326
1205;13;Range Rotation;2025.03.05 11:05:00;2025.03.05 11:20:00;SHORT;2919.13;2922.66;2916.01;7.0000;RR_HIGH|2025.03.05 11:00:00;RR|RR_HIGH|2025.03.05 11:00:00|1741172400|FINAL;mature two-sided range, failed excess beyond boundary, closed-bar rejection back toward midpoint;RR-CANON-1;D031v1;2025.03.05 11:05:00;London;SELF_DETECTED_ROLLING_RANGE;range_high=2922.03000;range_low=2909.98000;midpoint=2916.00500;353.50;0.8840;0.014144
1200;8;Session Sweep Reversal;2025.03.05 11:15:00;2025.03.05 11:30:00;SHORT;2918.02;2922.66;2908.75;7.0000;ASIA_HIGH|20250305;SSR|ASIA_HIGH|20250305|1741172400|FINAL;Asia session level swept during London/NewYork, closed-bar reclaim within frozen window;SSR-CANON-1;D031v1;2025.03.05 11:15:00;London;ASIA_SESSION_HIGH_LOW;asian_high=2918.75000;asian_low=2902.06000;sweep_extreme=2922.55000;463.65;2.0000;0.010784
1202;10;Break-Retest Continuation;2025.03.05 11:15:00;2025.03.05 11:30:00;SHORT;2918.02;2922.17;2909.72;7.0000;BO|XAUUSD|5|1|S|1741170000|MSZZ|XAUUSD|5|1|-1|1741157700|1741159500;BRC|BO|XAUUSD|5|1|S|1741170000|MSZZ|XAUUSD|5|1|-1|1741157700|1741159500|1741170000|FINAL;confirmed medium-structure break, frozen-window retest, close through rejection bar extreme;BRC-CANON-1;D031v1;2025.03.05 11:15:00;London;MEDIUM_SWING_HIGH_LOW;break_level=2920.86857;bars_since_break=11;415.00;2.0000;0.012048
1200;8;Session Sweep Reversal;2025.03.05 11:20:00;2025.03.05 11:35:00;SHORT;2916.40;2919.87;2909.45;7.0000;ASIA_HIGH|20250305;SSR|ASIA_HIGH|20250305|1741173300|FINAL;Asia session level swept during London/NewYork, closed-bar reclaim within frozen window;SSR-CANON-1;D031v1;2025.03.05 11:20:00;London;ASIA_SESSION_HIGH_LOW;asian_high=2918.75000;asian_low=2902.06000;sweep_extreme=2919.77000;347.38;2.0000;0.023030
1200;8;Session Sweep Reversal;2025.03.05 12:00:00;2025.03.05 12:15:00;SHORT;2917.04;2919.52;2912.08;7.0000;ASIA_HIGH|20250305;SSR|ASIA_HIGH|20250305|1741175400|FINAL;Asia session level swept during London/NewYork, closed-bar reclaim within frozen window;SSR-CANON-1;D031v1;2025.03.05 12:00:00;London;ASIA_SESSION_HIGH_LOW;asian_high=2918.75000;asian_low=2902.06000;sweep_extreme=2919.41000;247.85;2.0000;0.064555
1200;8;Session Sweep Reversal;2025.03.05 12:05:00;2025.03.05 12:20:00;SHORT;2917.79;2919.26;2914.85;7.0000;ASIA_HIGH|20250305;SSR|ASIA_HIGH|20250305|1741176000|FINAL;Asia session level swept during London/NewYork, closed-bar reclaim within frozen window;SSR-CANON-1;D031v1;2025.03.05 12:05:00;London;ASIA_SESSION_HIGH_LOW;asian_high=2918.75000;asian_low=2902.06000;sweep_extreme=2919.15000;146.81;2.0000;0.081736
1202;10;Break-Retest Continuation;2025.03.05 14:25:00;2025.03.05 14:40:00;LONG;2918.45;2916.17;2923.01;7.0000;BO|XAUUSD|5|1|L|1741183800|MSZZ|XAUUSD|5|1|1|1741182300|1741182600;BRC|BO|XAUUSD|5|1|L|1741183800|MSZZ|XAUUSD|5|1|1|1741182300|1741182600|1741183800|FINAL;confirmed medium-structure break, frozen-window retest, close through rejection bar extreme;BRC-CANON-1;D031v1;2025.03.05 14:25:00;London;MEDIUM_SWING_HIGH_LOW;break_level=2917.34486;bars_since_break=3;228.00;2.0000;0.030702
1200;8;Session Sweep Reversal;2025.03.05 14:30:00;2025.03.05 14:45:00;SHORT;2916.73;2919.40;2911.38;7.0000;ASIA_HIGH|20250305;SSR|ASIA_HIGH|20250305|1741184700|FINAL;Asia session level swept during London/NewYork, closed-bar reclaim within frozen window;SSR-CANON-1;D031v1;2025.03.05 14:30:00;London;ASIA_SESSION_HIGH_LOW;asian_high=2918.75000;asian_low=2902.06000;sweep_extreme=2919.30000;267.25;2.0000;0.041159
1200;8;Session Sweep Reversal;2025.03.05 16:00:00;2025.03.05 16:15:00;LONG;2905.00;2893.73;2927.54;7.0000;ASIA_LOW|20250305;SSR|ASIA_LOW|20250305|1741189800|FINAL;Asia session level swept during London/NewYork, closed-bar reclaim within frozen window;SSR-CANON-1;D031v1;2025.03.05 16:00:00;NewYork;ASIA_SESSION_HIGH_LOW;asian_high=2918.75000;asian_low=2902.06000;sweep_extreme=2893.97000;1126.97;2.0000;0.004437
