variant,role,scope,trades,wins,losses,win_rate,cumulative_r,expectancy_r,profit_factor_r,max_drawdown_r,long_trades,long_expectancy_r,short_trades,short_expectancy_r,first_entry_time,last_exit_time
A_2R,core,Full window,224,81,143,0.361607,28.244700,0.126092,1.244622,15.158100,107,0.205376,117,0.053585,2025.03.05 15:45:00,2026.07.21 04:39:58
SweepReclaim_2R,new,Full window,190,70,120,0.368421,28.611700,0.150588,1.268759,18.294100,96,0.080760,94,0.221901,2025.03.05 03:10:00,2026.07.16 15:19:58
A_plus_SweepReclaim_2R,combined,Full window,371,124,247,0.334232,20.740000,0.055903,1.112943,25.279800,176,0.113518,195,0.003902,2025.03.05 03:10:00,2026.07.21 04:39:58
E_3R,core,Full window,213,63,150,0.295775,31.246500,0.146697,1.253197,16.920400,101,0.209818,112,0.089776,2025.03.05 15:45:00,2026.07.21 04:39:58
SweepReclaim_3R,new,Full window,187,55,132,0.294118,24.358300,0.130258,1.204079,27.695200,94,0.084067,93,0.176946,2025.03.05 03:10:00,2026.07.16 15:44:58
E_plus_SweepReclaim_3R,combined,Full window,353,99,254,0.280453,20.593300,0.058338,1.107459,28.116400,169,0.140988,184,-0.017574,2025.03.05 03:10:00,2026.07.21 04:39:58
