strategy,feature,bucket,operator,threshold,canonical,trades,cumulative_r,expectancy_r,note
FastMedConfluence,normalized_atr,CONTRACTING,lt,0.80,true,35,-11.855200,-0.338720,offline entry-time sensitivity; classifier and executions unchanged
FastMedConfluence,normalized_atr,CONTRACTING,lt,0.85,false,47,-11.855200,-0.252238,offline entry-time sensitivity; classifier and executions unchanged
FastMedConfluence,normalized_atr,EXPANDING,gt,1.15,false,116,29.406500,0.253504,offline entry-time sensitivity; classifier and executions unchanged
FastMedConfluence,normalized_atr,EXPANDING,gt,1.20,true,107,27.312200,0.255254,offline entry-time sensitivity; classifier and executions unchanged
FastMedConfluence,normalized_atr,EXPANDING,gt,1.25,false,102,20.312200,0.199139,offline entry-time sensitivity; classifier and executions unchanged
FastMedConfluence,directional_efficiency,WEAK,lt,0.30,false,142,15.836900,0.111527,offline entry-time sensitivity; classifier and executions unchanged
FastMedConfluence,directional_efficiency,WEAK,lt,0.35,true,156,6.341300,0.040649,offline entry-time sensitivity; classifier and executions unchanged
FastMedConfluence,directional_efficiency,WEAK,lt,0.40,false,165,10.053100,0.060928,offline entry-time sensitivity; classifier and executions unchanged
FastMedConfluence,directional_efficiency,STRONG,gt,0.60,false,12,-2.206000,-0.183833,offline entry-time sensitivity; classifier and executions unchanged
FastMedConfluence,directional_efficiency,STRONG,gt,0.65,true,11,-1.206000,-0.109636,offline entry-time sensitivity; classifier and executions unchanged
FastMedConfluence,directional_efficiency,STRONG,gt,0.70,false,7,0.054500,0.007786,offline entry-time sensitivity; classifier and executions unchanged
FastMedConfluence,compression_ratio,LOW_COMPRESSION_RATIO,lt,0.30,false,32,4.217300,0.131791,offline entry-time sensitivity; classifier and executions unchanged
FastMedConfluence,compression_ratio,LOW_COMPRESSION_RATIO,lt,0.35,true,44,11.614600,0.263968,offline entry-time sensitivity; classifier and executions unchanged
FastMedConfluence,compression_ratio,LOW_COMPRESSION_RATIO,lt,0.40,false,57,9.916400,0.173972,offline entry-time sensitivity; classifier and executions unchanged
FastMedContext,normalized_atr,CONTRACTING,lt,0.75,false,25,-3.836300,-0.153452,offline entry-time sensitivity; classifier and executions unchanged
FastMedContext,normalized_atr,CONTRACTING,lt,0.80,true,34,-10.747100,-0.316091,offline entry-time sensitivity; classifier and executions unchanged
FastMedContext,normalized_atr,CONTRACTING,lt,0.85,false,47,-11.558200,-0.245919,offline entry-time sensitivity; classifier and executions unchanged
FastMedContext,normalized_atr,EXPANDING,gt,1.15,false,120,30.060200,0.250502,offline entry-time sensitivity; classifier and executions unchanged
FastMedContext,normalized_atr,EXPANDING,gt,1.20,true,111,27.708800,0.249629,offline entry-time sensitivity; classifier and executions unchanged
