run,window,trades,cumulative_r,expectancy_r,profit_factor_r,max_drawdown_r,long_trades,short_trades,first_entry_time,last_exit_time
A_2R,Development,133,13.9368,0.10478796992481203,1.2030443245259268,15.158100000000001,69,64,2025.03.05 15:50:00,2025.12.31 07:54:58
A_2R,Validation,52,6.8843,0.1323903846153846,1.2406004263796178,8.2057,20,32,2026.01.06 04:40:00,2026.05.07 09:34:58
A_2R,Final holdout,39,7.4236,0.19034871794871797,1.407654924356827,4.9216999999999995,18,21,2026.05.12 19:05:00,2026.07.21 04:39:58
A_2R,Full window,224,28.2447,0.12609241071428573,1.2446218562358233,15.158100000000001,107,117,2025.03.05 15:50:00,2026.07.21 04:39:58
E_3R,Development,127,7.5366,0.05934330708661417,1.100506493194748,16.920399999999997,66,61,2025.03.05 15:50:00,2026.01.05 03:04:58
E_3R,Validation,49,14.8843,0.3037612244897959,1.5201936182853948,7.0292,17,32,2026.01.06 04:40:00,2026.05.07 09:34:58
E_3R,Final holdout,37,8.8256,0.23852972972972972,1.4455461039452762,5.903700000000001,18,19,2026.05.12 19:05:00,2026.07.21 04:39:58
E_3R,Full window,213,31.2465,0.14669718309859156,1.253197328853872,16.920399999999997,101,112,2025.03.05 15:50:00,2026.07.21 04:39:58
SweepReclaim_2R,Development,123,17.583,0.1429512195121951,1.2496982262805856,18.2941,60,63,2025.03.05 03:15:00,2025.12.31 01:39:57
SweepReclaim_2R,Validation,29,4.4695,0.15412068965517242,1.2728765751685063,4.032,15,14,2026.01.06 17:20:00,2026.04.22 06:39:58
SweepReclaim_2R,Final holdout,38,6.5592,0.17261052631578946,1.3335893197711377,8.421299999999999,21,17,2026.05.05 23:10:00,2026.07.16 15:19:58
SweepReclaim_2R,Full window,190,28.6117,0.1505878947368421,1.2687586829446538,18.2941,96,94,2025.03.05 03:15:00,2026.07.16 15:19:58
