classification,candidate_count,broker_trade_count,total_r,profit_factor,expectancy_r,parity_trade_count,parity_total_r,parity_profit_factor,parity_expectancy_r
FRESH_CROSS_AFTER_NEUTRAL_RESET,449,116,-5.8044,0.9258935821421458,-0.05003793103448276,103,4.9887999999999995,1.0744597014925372,0.048434951456310674
FRESH_CROSS_FROM_INSIDE,376,256,16.1657,1.0990906611172577,0.063147265625,228,15.032100000000002,1.1022591836734694,0.06593026315789474
SAME_TRIGGER_BAR_REARM,1825,534,-12.6712,0.9637834092847458,-0.023728838951310862,491,-5.0218,0.984736170212766,-0.010227698574338084
