origin_id,event_id,direction,arm_time,prior_terminal_state,prior_terminal_time,same_bar_as_prior_terminal,price_crossed_back_inside_before_this_arm,fresh_threshold_crossing_occurred,classification
SSRP|ASIA_LOW|20251121|1763733600,SSRP|ASIA_LOW|20251121|1763733600|FINAL,LONG,2025.11.21 14:00:00,INVALIDATED,2025.11.21 14:00:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_LOW|20251121|1763733900,SSRP|ASIA_LOW|20251121|1763733900|FINAL,LONG,2025.11.21 14:05:00,TRIGGERED,2025.11.21 14:05:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20251121|1763751600,SSRP|ASIA_HIGH|20251121|1763751600|FINAL,SHORT,2025.11.21 19:00:00,INVALIDATED,2025.11.21 19:00:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20251121|1763760300,SSRP|ASIA_HIGH|20251121|1763760300|FINAL,SHORT,2025.11.21 21:25:00,TRIGGERED,2025.11.21 19:10:00,false,true,true,FRESH_CROSS_AFTER_NEUTRAL_RESET
SSRP|ASIA_HIGH|20251121|1763761200,SSRP|ASIA_HIGH|20251121|1763761200|FINAL,SHORT,2025.11.21 21:40:00,TRIGGERED,2025.11.21 21:40:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20251121|1763761800,SSRP|ASIA_HIGH|20251121|1763761800|FINAL,SHORT,2025.11.21 21:50:00,TRIGGERED,2025.11.21 21:45:00,false,false,true,FRESH_CROSS_FROM_INSIDE
SSRP|ASIA_HIGH|20251124|1763998500,SSRP|ASIA_HIGH|20251124|1763998500|FINAL,SHORT,2025.11.24 15:35:00,INVALIDATED,2025.11.24 15:35:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20251124|1763998800,SSRP|ASIA_HIGH|20251124|1763998800|FINAL,SHORT,2025.11.24 15:40:00,TRIGGERED,2025.11.24 15:40:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20251124|1763999100,SSRP|ASIA_HIGH|20251124|1763999100|FINAL,SHORT,2025.11.24 15:45:00,TRIGGERED,2025.11.24 15:45:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20251124|1763999700,SSRP|ASIA_HIGH|20251124|1763999700|FINAL,SHORT,2025.11.24 15:55:00,TRIGGERED,2025.11.24 15:50:00,false,false,true,FRESH_CROSS_FROM_INSIDE
SSRP|ASIA_HIGH|20251124|1764000900,SSRP|ASIA_HIGH|20251124|1764000900|FINAL,SHORT,2025.11.24 16:15:00,TRIGGERED,2025.11.24 16:15:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20251124|1764001800,SSRP|ASIA_HIGH|20251124|1764001800|FINAL,SHORT,2025.11.24 16:30:00,TRIGGERED,2025.11.24 16:20:00,false,true,true,FRESH_CROSS_AFTER_NEUTRAL_RESET
SSRP|ASIA_LOW|20251125|1764066900,SSRP|ASIA_LOW|20251125|1764066900|FINAL,LONG,2025.11.25 10:35:00,NONE,,false,true,true,FRESH_CROSS_FROM_INSIDE
