source,log_timestamp,errors,warnings,fresh_log,result
Tests/MultiSpeedZigZag/Test_MSZZ_SessionSweepReversal.mq5,2026.07.30 08:12:26.446,0,0,true,PASS
Experts/MultiSpeedZigZagEA.mq5,2026.07.30 08:11:10.823,0,0,true,PASS
