logical_position_id,position_ticket,entry_deal_count,exit_deal_count,entry_volume,exit_volume,weighted_exit_price,reported_exit_price,reported_r,recomputed_r,volume_match,weighted_exit_match,r_match
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20260225|1772048100,1190,1,1,0.48,0.48000000,5198.61000000,5198.61,1.9999999999998248,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20260226|1772123400,1192,1,1,0.09,0.09000000,5139.10000000,5139.1,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20260226|1772126700,1194,1,1,0.06,0.06000000,5249.08000000,5249.08,1.9997494362314698,1.99974944,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20260302|1772448600,1196,1,1,0.14,0.14000000,5410.37000000,5410.37,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20260302|1772465700,1198,1,1,0.08,0.08000000,5314.77000000,5314.77,2.0,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20260302|1772475300,1200,1,1,0.08,0.08000000,5367.98000000,5367.98,1.9996546961325892,1.99965470,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20260303|1772525400,1202,1,1,0.08,0.08000000,5278.18000000,5278.18,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20260304|1772626200,1204,1,1,0.18,0.18000000,5202.82000000,5202.82,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20260304|1772633400,1206,1,1,0.14,0.14000000,5149.36000000,5149.36,2.0,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20260305|1772698500,1208,1,1,0.1,0.10000000,5123.83000000,5123.83,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20260306|1772805300,1210,1,1,0.12,0.12000000,5122.46000000,5122.46,2.0000000000000453,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20260306|1772818800,1212,1,1,0.12,0.12000000,5161.36000000,5161.36,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20260310|1773143100,1214,1,1,0.22,0.22000000,5160.35000000,5160.35,1.9991401547722787,1.99914015,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20260310|1773151500,1216,1,1,0.33,0.33000000,5169.03000000,5169.03,1.9987163029525918,1.99871630,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20260310|1773157500,1218,1,1,0.35,0.35000000,5189.70000000,5189.7,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20260310|1773177000,1220,1,1,0.04,0.04000000,5061.86000000,5061.86,2.000000000000033,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20260313|1773399600,1222,1,1,0.21,0.21000000,5066.21000000,5066.21,-1.0,-1.00000000,true,true,true
