logical_position_id,position_ticket,entry_deal_count,exit_deal_count,entry_volume,exit_volume,weighted_exit_price,reported_exit_price,reported_r,portfolio_reported_r,recomputed_r,volume_match,weighted_exit_match,r_match
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20251104|1762271400,958,1,1,0.54,0.54000000,3971.59000000,3971.59,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20251104|1762272000,960,1,1,0.19,0.19000000,3963.62000000,3963.62,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20251104|1762280100,962,1,1,0.2,0.20000000,3963.23000000,3963.23,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20251105|1762339800,964,1,1,0.28,0.28000000,3959.00000000,3959.0000000000005,1.9988,1.9987893462470019,1.99878935,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20251105|1762357800,966,1,1,0.56,0.56000000,3979.98000000,3979.98,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20251105|1762360500,968,1,1,0.24,0.24000000,3985.77000000,3985.77,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20251106|1762447800,970,1,1,0.11,0.11000000,3999.74000000,3999.74,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20251107|1762520700,972,1,1,0.24,0.24000000,4011.95000000,4011.95,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20251107|1762541700,974,1,1,0.17,0.17000000,4014.22000000,4014.22,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20251110|1762761600,976,1,1,0.69,0.69000000,4071.16000000,4071.16,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20251111|1762887900,978,1,1,0.69,0.69000000,4112.66000000,4112.66,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20251111|1762889400,980,1,1,0.48,0.48000000,4110.59000000,4110.59,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20251111|1762893600,982,1,1,0.35,0.35000000,4128.16000000,4128.16,2.0015,2.001529051987801,2.00152905,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20251113|1763049600,984,1,1,0.14,0.14000000,4183.57000000,4183.57,2.0006,2.0006108735491885,2.00061087,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20251113|1763074800,986,1,1,0.11,0.11000000,4160.71000000,4160.71,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20251114|1763112600,988,1,1,0.19,0.19000000,4162.24000000,4162.24,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20251114|1763123400,990,1,1,0.2,0.20000000,4159.20000000,4159.2,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20251118|1763457000,992,1,1,0.37,0.37000000,4002.14000000,4002.14,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20251118|1763458200,994,1,1,0.27,0.27000000,4022.38000000,4022.3799999999997,2.0000,1.9999999999998905,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20251118|1763487600,996,1,1,0.23,0.23000000,4064.03000000,4064.03,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20251119|1763539200,998,1,1,0.83,0.83000000,4090.56000000,4090.5600000000004,2.0000,2.000000000000328,2.00000000,true,true,true
