test,trades,total_r,expectancy_r,positive
development,585,-0.00010000000000021103,-1.7094017094053168e-07,false
validation,165,11.3056,0.06851878787878787,true
holdout,156,-13.6154,-0.08727820512820512,false
long,393,-1.081099999999999,-0.002750890585241728,false
short,513,-1.2288000000000001,-0.002395321637426901,false
top_3_exclusion,903,-8.328399999999998,,false
best_quarter_exclusion,792,-25.618399999999998,,false
