run,candidates,trades,pf,expectancy_r,total_r
D032 synthetic,822,822,1.079,0.051,
old defective D033,2650,389,1.0532615810624784,0.034513367609254504,13.425700000000003
corrected D033,2650,906,0.996093777083684,-0.002549558498896246,-2.309899999999999
