variant,ticket,logical_position_id,entry_volume,exit_volume,volume_ok,weighted_exit_price,reported_exit_price,price_diff,price_ok,recomputed_r,reported_r,r_diff,r_ok,gross_money,commission,swap,net_money
D29_SR0,150,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1755075600|1755075600,1.15,1.15,True,3353.27,3353.27,0.0,True,-1.0,-1.0,0.0,True,-264.5,-2.3,0.0,-266.8
D29_SR0,152,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1755717300|1755717300,4.9,4.9,True,3346.24,3346.24,0.0,True,-1.0,-1.0,0.0,True,-264.6,-9.8,0.0,-274.4
D29_SR0,154,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1755749700|1755749700,1.78,1.78,True,3340.57,3340.57,0.0,True,2.0,2.0,0.0,True,526.88,-3.56,0.0,523.32
D29_SR0,156,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1755814200|1755814200,0.77,0.77,True,3331.38,3331.38,0.0,True,2.0,1.999999999999867,0.0,True,526.68,-1.54,17.71,542.85
D29_SR0,158,MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1755838800|1755838800,0.9,0.9,True,3330.96,3330.96,0.0,True,-1.0,-1.0,0.0,True,-266.4,-1.8,0.0,-268.2
D29_SR0,160,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1758146700|1758147000,1.01,1.01,True,3665.7,3665.7,0.0,True,-1.0,-1.0,0.0,True,-265.63,-2.02,0.0,-267.65
D29_SR0,162,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1757604600|1757604600,0.57,0.57,True,3642.03,3642.0300000000007,0.0,True,-1.0,-1.0000000000000977,0.0,True,-265.05,-1.14,0.0,-266.19
D29_SR0,164,MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1758213300|1758213300,2.56,2.56,True,3640.84,3640.84,0.0,True,2.0,1.9999999999995586,0.0,True,527.36,-5.12,0.0,522.24
D29_SR0,166,MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1758257100|1758257100,0.65,0.65,True,3651.1,3651.1,0.0,True,2.0,1.9999999999998888,0.0,True,531.7,-1.3,0.0,530.4
D29_SR0,168,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1758258600|1758258600,0.47,0.47,True,3651.1,3651.1,0.0,True,-1.0,-1.0,0.0,True,-266.49,-0.94,0.0,-267.43
D29_SR0,170,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1758276900|1758276900,2.05,2.05,True,3649.61,3649.61,0.0,True,2.0,1.9999999999996503,0.0,True,533.0,-4.1,0.0,528.9
D29_SR0,172,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1758294000|1758294000,4.32,4.32,True,3650.01,3650.01,0.0,True,2.0,2.0,0.0,True,535.68,-8.64,0.0,527.04
D29_SR0,174,MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1761062400|1761062400,0.35,0.35,True,4212.4,4212.4,0.0,True,2.0,1.9999999999997597,0.0,True,529.9,-0.7,0.0,529.2
D29_SR0,176,MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1761065400|1761065400,0.16,0.16,True,4165.34,4165.34,0.0,True,-1.0,-1.0,0.0,True,-266.24,-0.32,0.0,-266.56
D29_SR0,178,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1760490300|1760490300,0.05,0.05,True,4141.57,4141.57,0.0,True,-0.449112,-0.4491124260354952,0.0,True,-113.85,-0.1,0.0,-113.95
D29_SR0,180,MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1761067500|1761067500,0.16,0.16,True,4125.13,4125.13,0.0,True,-1.0,-1.0,0.0,True,-263.04,-0.32,0.0,-263.36
D29_SR0,182,MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1761094800|1761094800,0.28,0.28,True,4113.89,4113.89,0.0,True,-1.0,-1.0,0.0,True,-263.2,-0.56,0.0,-263.76
D29_SR0,184,MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1762220700|1762220700,0.43,0.43,True,3986.59,3986.59,0.0,True,-1.0,-1.0,0.0,True,-264.45,-0.86,0.0,-265.31
D29_SR0,186,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1762321500|1762321500,0.49,0.49,True,3970.07,3970.07,0.0,True,-1.0,-1.0,0.0,True,-264.11,-0.98,0.0,-265.09
D29_SR0,188,MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1762266000|1762266000,0.22,0.22,True,3995.46,3995.46,0.0,True,-0.43,-0.4299999999999879,0.0,True,-113.52,-0.44,0.0,-113.96
D29_SR0,190,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1762419600|1762419600,0.4,0.4,True,4002.12,4002.12,0.0,True,-1.0,-1.0,0.0,True,-266.4,-0.8,0.0,-267.2
D29_SR0,192,MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1762446300|1762446300,0.22,0.22,True,3987.15,3987.15,0.0,True,-1.0,-1.0,0.0,True,-261.14,-0.44,0.0,-261.58
D29_SR0,194,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1762531800|1762531800,0.38,0.38,True,3987.02,3987.02,0.0,True,2.0,1.9999999999999336,0.0,True,519.84,-0.76,0.0,519.08
D29_SR0,196,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1762539600|1762539600,0.14,0.14,True,4013.86,4013.86,0.0,True,-1.0,-1.0,0.0,True,-262.22,-0.28,9.66,-252.84
D29_SR0,198,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1763366700|1763366700,0.31,0.31,True,4071.7,4071.6999999999994,0.0,True,-1.0,-0.9999999999999456,0.0,True,-259.16,-0.62,0.0,-259.78
D29_SR0,200,MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1763393700|1763393700,0.25,0.25,True,4064.03,4064.03,0.0,True,-1.0,-1.0,0.0,True,-255.75,-0.5,0.0,-256.25
D29_SR0,202,MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1763129700|1763129700,0.69,0.69,True,4114.82,4114.82,0.0,True,-1.0,-1.0,0.0,True,-264.27,-1.38,0.0,-265.65
D29_SR0,204,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1763553300|1763553300,0.22,0.22,True,4112.17,4112.17,0.0,True,-0.414983,-0.41498316498318566,0.0,True,-108.46,-0.44,0.0,-108.9
D29_SR0,206,MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1763564400|1763564400,0.45,0.45,True,4106.39,4106.39,0.0,True,-1.0,-1.0,0.0,True,-260.1,-0.9,0.0,-261.0
D29_SR0,208,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1763565900|1763565900,0.22,0.22,True,4117.88,4117.88,0.0,True,-1.0,-1.0,0.0,True,-254.76,-0.44,0.0,-255.2
D29_SR0,210,MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1763130300|1763130300,0.31,0.31,True,4109.3,4109.3,0.0,True,-1.0,-1.0,0.0,True,-261.33,-0.62,0.0,-261.95
D29_SR0,212,MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1763949900|1763949900,0.59,0.59,True,4071.36,4071.3599999999997,0.0,True,2.0,2.0,0.0,True,522.74,-1.18,0.0,521.56
D29_SR0,214,MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1763965800|1763965800,1.47,1.47,True,4045.05,4045.05,0.0,True,-1.0,-1.0,0.0,True,-263.13,-2.94,0.0,-266.07
D29_SR0,216,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1764334200|1764334200,0.14,0.14,True,4188.02,4188.02,0.0,True,-1.0,-1.0,0.0,True,-262.22,-0.28,0.0,-262.5
D29_SR0,218,MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1765306800|1765307100,0.58,0.58,True,4207.0,4207.0,0.0,True,-1.0,-1.0,0.0,True,-257.52,-1.16,-26.68,-285.36
D29_SR0,220,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1765336500|1765336500,1.1,1.1,True,4218.01,4218.01,0.0,True,-1.0,-1.0,0.0,True,-259.6,-2.2,0.0,-261.8
D29_SR0,222,MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1765343400|1765343400,0.49,0.49,True,4207.46,4207.46,0.0,True,-1.0,-1.0,0.0,True,-259.21,-0.98,0.0,-260.19
D29_SR0,224,MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1764958200|1764958200,0.16,0.16,True,4190.47,4190.47,0.0,True,-1.0,-1.0,0.0,True,-251.84,-0.32,0.0,-252.16
D29_SR0,226,MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1764957000|1764957000,1.56,1.56,True,4240.5,4240.5,0.0,True,-1.0,-1.0,0.0,True,-258.96,-3.12,0.0,-262.08
D29_SR0,228,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1765417800|1765417800,0.34,0.34,True,4217.3,4217.3,0.0,True,2.0,1.9999999999998794,0.0,True,513.4,-0.68,0.0,512.72
D29_SR0,230,MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1765427100|1765427100,0.34,0.34,True,4245.89,4245.89,0.0,True,2.0,2.0,0.0,True,507.96,-0.68,0.0,507.28
D29_SR0,232,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1766134500|1766134800,0.43,0.43,True,4329.21,4329.21,0.0,True,-1.0,-1.0,0.0,True,-255.42,-0.86,0.0,-256.28
D29_SR0,234,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1766143500|1766143800,1.47,1.47,True,4324.44,4324.44,0.0,True,2.0,2.0,0.0,True,517.44,-2.94,0.0,514.5
D29_SR0,236,MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1766157900|1766157900,0.83,0.83,True,4326.19,4326.19,0.0,True,-1.0,-1.0,0.0,True,-261.45,-1.66,0.0,-263.11
