variant,raw_candidate_count,canonical_sha256
D29_SR0,376,9f880ec104c2c30253db9e7a40559c8878d605ab5cd062f2748304d7bb25a065
SR3_PCT,376,9f880ec104c2c30253db9e7a40559c8878d605ab5cd062f2748304d7bb25a065
SR4_PCT,376,9f880ec104c2c30253db9e7a40559c8878d605ab5cd062f2748304d7bb25a065
