time;symbol;timeframe;status;cluster_id;strategy_id;setup;direction;score;entry;stop;target;origin_id;event_id;reason
2025.03.11 06:25:00;XAUUSD;PERIOD_M5;RAW_CANDIDATE;;1010;Fast + Medium Confluence / Slow Alignment;LONG;8.00;2898.01;2895.93;2904.25;BO|XAUUSD|5|0|L|1741674300|MSZZ|XAUUSD|5|0|1|1741674000|1741674000;CFM|BO|XAUUSD|5|0|L|1741674300|MSZZ|XAUUSD|5|0|1|1741674000|1741674000;Fast trigger, medium confirmation/context, slow bullish alignment
2025.03.11 06:25:00;XAUUSD;PERIOD_M5;EXECUTED;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741674300|MSZZ|XAUUSD|5|0|1|1741674000|1741674000;1010;Fast + Medium Confluence / Slow Alignment;LONG;8.00;2897.99;2895.93;2904.17;BO|XAUUSD|5|0|L|1741674300|MSZZ|XAUUSD|5|0|1|1741674000|1741674000;CFM|BO|XAUUSD|5|0|L|1741674300|MSZZ|XAUUSD|5|0|1|1741674000|1741674000;Fast trigger, medium confirmation/context, slow bullish alignment
2025.03.11 06:50:00;XAUUSD;PERIOD_M5;RAW_CANDIDATE;;1010;Fast + Medium Confluence / Slow Alignment;LONG;8.00;2898.78;2895.93;2907.33;BO|XAUUSD|5|0|L|1741675800|MSZZ|XAUUSD|5|0|1|1741674000|1741674000;CFM|BO|XAUUSD|5|0|L|1741675800|MSZZ|XAUUSD|5|0|1|1741674000|1741674000;Fast trigger, medium confirmation/context, slow bullish alignment
2025.03.11 06:50:00;XAUUSD;PERIOD_M5;REJECT_OWNERSHIP;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741675800|MSZZ|XAUUSD|5|0|1|1741674000|1741674000;1010;Fast + Medium Confluence / Slow Alignment;LONG;8.00;2898.97;2895.93;2908.09;BO|XAUUSD|5|0|L|1741675800|MSZZ|XAUUSD|5|0|1|1741674000|1741674000;CFM|BO|XAUUSD|5|0|L|1741675800|MSZZ|XAUUSD|5|0|1|1741674000|1741674000;owned position limit reached count=1
2025.03.11 08:55:00;XAUUSD;PERIOD_M5;RAW_CANDIDATE;;1010;Fast + Medium Confluence / Slow Alignment;LONG;8.00;2897.75;2895.93;2903.21;BO|XAUUSD|5|0|L|1741683300|MSZZ|XAUUSD|5|0|1|1741674000|1741674000;CFM|BO|XAUUSD|5|0|L|1741683300|MSZZ|XAUUSD|5|0|1|1741674000|1741674000;Fast trigger, medium confirmation/context, slow bullish alignment
2025.03.11 08:55:00;XAUUSD;PERIOD_M5;EXECUTED;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741683300|MSZZ|XAUUSD|5|0|1|1741674000|1741674000;1010;Fast + Medium Confluence / Slow Alignment;LONG;8.00;2897.83;2895.93;2903.53;BO|XAUUSD|5|0|L|1741683300|MSZZ|XAUUSD|5|0|1|1741674000|1741674000;CFM|BO|XAUUSD|5|0|L|1741683300|MSZZ|XAUUSD|5|0|1|1741674000|1741674000;Fast trigger, medium confirmation/context, slow bullish alignment
2025.03.11 09:30:00;XAUUSD;PERIOD_M5;RAW_CANDIDATE;;1010;Fast + Medium Confluence / Slow Alignment;LONG;8.00;2898.51;2895.93;2906.25;BO|XAUUSD|5|0|L|1741685400|MSZZ|XAUUSD|5|0|1|1741674000|1741674000;CFM|BO|XAUUSD|5|0|L|1741685400|MSZZ|XAUUSD|5|0|1|1741674000|1741674000;Fast trigger, medium confirmation/context, slow bullish alignment
2025.03.11 09:30:00;XAUUSD;PERIOD_M5;REJECT_OWNERSHIP;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741685400|MSZZ|XAUUSD|5|0|1|1741674000|1741674000;1010;Fast + Medium Confluence / Slow Alignment;LONG;8.00;2898.68;2895.93;2906.93;BO|XAUUSD|5|0|L|1741685400|MSZZ|XAUUSD|5|0|1|1741674000|1741674000;CFM|BO|XAUUSD|5|0|L|1741685400|MSZZ|XAUUSD|5|0|1|1741674000|1741674000;owned position limit reached count=1
2025.03.11 10:25:00;XAUUSD;PERIOD_M5;RAW_CANDIDATE;;1010;Fast + Medium Confluence / Slow Alignment;LONG;8.00;2897.92;2895.93;2903.89;BO|XAUUSD|5|0|L|1741688700|MSZZ|XAUUSD|5|0|1|1741687200|1741687200;CFM|BO|XAUUSD|5|0|L|1741688700|MSZZ|XAUUSD|5|0|1|1741687200|1741687200;Fast trigger, medium confirmation/context, slow bullish alignment
2025.03.11 10:25:00;XAUUSD;PERIOD_M5;EXECUTED;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741688700|MSZZ|XAUUSD|5|0|1|1741687200|1741687200;1010;Fast + Medium Confluence / Slow Alignment;LONG;8.00;2897.99;2895.93;2904.17;BO|XAUUSD|5|0|L|1741688700|MSZZ|XAUUSD|5|0|1|1741687200|1741687200;CFM|BO|XAUUSD|5|0|L|1741688700|MSZZ|XAUUSD|5|0|1|1741687200|1741687200;Fast trigger, medium confirmation/context, slow bullish alignment
2025.03.12 19:15:00;XAUUSD;PERIOD_M5;RAW_CANDIDATE;;1010;Fast + Medium Confluence / Slow Alignment;SHORT;8.00;2925.26;2902.03;2855.57;BO|XAUUSD|5|0|S|1741806900|MSZZ|XAUUSD|5|0|-1|1741368000|1741368000;CFM|BO|XAUUSD|5|0|S|1741806900|MSZZ|XAUUSD|5|0|-1|1741368000|1741368000;Fast trigger, medium confirmation/context, slow bearish alignment
2025.03.12 19:15:00;XAUUSD;PERIOD_M5;REJECT_STOPS;MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741806900|MSZZ|XAUUSD|5|0|-1|1741368000|1741368000;1010;Fast + Medium Confluence / Slow Alignment;SHORT;8.00;2925.26;2902.03;2855.57;BO|XAUUSD|5|0|S|1741806900|MSZZ|XAUUSD|5|0|-1|1741368000|1741368000;CFM|BO|XAUUSD|5|0|S|1741806900|MSZZ|XAUUSD|5|0|-1|1741368000|1741368000;invalid short stop/target orientation
2025.03.21 19:45:00;XAUUSD;PERIOD_M5;RAW_CANDIDATE;;1010;Fast + Medium Confluence / Slow Alignment;LONG;8.00;3013.97;3010.00;3025.88;BO|XAUUSD|5|0|L|1742586300|MSZZ|XAUUSD|5|0|1|1742583900|1742583900;CFM|BO|XAUUSD|5|0|L|1742586300|MSZZ|XAUUSD|5|0|1|1742583900|1742583900;Fast trigger, medium confirmation/context, slow bullish alignment
2025.03.21 19:45:00;XAUUSD;PERIOD_M5;EXECUTED;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1742586300|MSZZ|XAUUSD|5|0|1|1742583900|1742583900;1010;Fast + Medium Confluence / Slow Alignment;LONG;8.00;3014.13;3010.00;3026.52;BO|XAUUSD|5|0|L|1742586300|MSZZ|XAUUSD|5|0|1|1742583900|1742583900;CFM|BO|XAUUSD|5|0|L|1742586300|MSZZ|XAUUSD|5|0|1|1742583900|1742583900;Fast trigger, medium confirmation/context, slow bullish alignment
2025.03.25 05:45:00;XAUUSD;PERIOD_M5;RAW_CANDIDATE;;1010;Fast + Medium Confluence / Slow Alignment;SHORT;8.00;3008.55;3000.67;2984.91;BO|XAUUSD|5|0|S|1742881500|MSZZ|XAUUSD|5|0|-1|1742837400|1742837400;CFM|BO|XAUUSD|5|0|S|1742881500|MSZZ|XAUUSD|5|0|-1|1742837400|1742837400;Fast trigger, medium confirmation/context, slow bearish alignment
2025.03.25 05:45:00;XAUUSD;PERIOD_M5;REJECT_STOPS;MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1742881500|MSZZ|XAUUSD|5|0|-1|1742837400|1742837400;1010;Fast + Medium Confluence / Slow Alignment;SHORT;8.00;3008.55;3000.67;2984.91;BO|XAUUSD|5|0|S|1742881500|MSZZ|XAUUSD|5|0|-1|1742837400|1742837400;CFM|BO|XAUUSD|5|0|S|1742881500|MSZZ|XAUUSD|5|0|-1|1742837400|1742837400;invalid short stop/target orientation
2025.03.25 08:05:00;XAUUSD;PERIOD_M5;RAW_CANDIDATE;;1010;Fast + Medium Confluence / Slow Alignment;LONG;8.00;3017.45;3024.19;3037.67;BO|XAUUSD|5|0|L|1742889900|MSZZ|XAUUSD|5|0|1|1742889600|1742889600;CFM|BO|XAUUSD|5|0|L|1742889900|MSZZ|XAUUSD|5|0|1|1742889600|1742889600;Fast trigger, medium confirmation/context, slow bullish alignment
2025.03.25 08:05:00;XAUUSD;PERIOD_M5;REJECT_STOPS;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1742889900|MSZZ|XAUUSD|5|0|1|1742889600|1742889600;1010;Fast + Medium Confluence / Slow Alignment;LONG;8.00;3017.45;3024.19;3037.67;BO|XAUUSD|5|0|L|1742889900|MSZZ|XAUUSD|5|0|1|1742889600|1742889600;CFM|BO|XAUUSD|5|0|L|1742889900|MSZZ|XAUUSD|5|0|1|1742889600|1742889600;invalid long stop/target orientation
2025.03.25 08:55:00;XAUUSD;PERIOD_M5;RAW_CANDIDATE;;1010;Fast + Medium Confluence / Slow Alignment;LONG;8.00;3018.30;3024.19;3035.97;BO|XAUUSD|5|0|L|1742892900|MSZZ|XAUUSD|5|0|1|1742889600|1742889600;CFM|BO|XAUUSD|5|0|L|1742892900|MSZZ|XAUUSD|5|0|1|1742889600|1742889600;Fast trigger, medium confirmation/context, slow bullish alignment
2025.03.25 08:55:00;XAUUSD;PERIOD_M5;REJECT_STOPS;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1742892900|MSZZ|XAUUSD|5|0|1|1742889600|1742889600;1010;Fast + Medium Confluence / Slow Alignment;LONG;8.00;3018.30;3024.19;3035.97;BO|XAUUSD|5|0|L|1742892900|MSZZ|XAUUSD|5|0|1|1742889600|1742889600;CFM|BO|XAUUSD|5|0|L|1742892900|MSZZ|XAUUSD|5|0|1|1742889600|1742889600;invalid long stop/target orientation
2025.03.25 09:55:00;XAUUSD;PERIOD_M5;RAW_CANDIDATE;;1010;Fast + Medium Confluence / Slow Alignment;LONG;8.00;3017.74;3024.19;3037.09;BO|XAUUSD|5|0|L|1742896500|MSZZ|XAUUSD|5|0|1|1742889600|1742889600;CFM|BO|XAUUSD|5|0|L|1742896500|MSZZ|XAUUSD|5|0|1|1742889600|1742889600;Fast trigger, medium confirmation/context, slow bullish alignment
2025.03.25 09:55:00;XAUUSD;PERIOD_M5;REJECT_STOPS;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1742896500|MSZZ|XAUUSD|5|0|1|1742889600|1742889600;1010;Fast + Medium Confluence / Slow Alignment;LONG;8.00;3017.74;3024.19;3037.09;BO|XAUUSD|5|0|L|1742896500|MSZZ|XAUUSD|5|0|1|1742889600|1742889600;CFM|BO|XAUUSD|5|0|L|1742896500|MSZZ|XAUUSD|5|0|1|1742889600|1742889600;invalid long stop/target orientation
2025.03.25 11:25:00;XAUUSD;PERIOD_M5;RAW_CANDIDATE;;1010;Fast + Medium Confluence / Slow Alignment;LONG;8.00;3017.98;3024.19;3036.61;BO|XAUUSD|5|0|L|1742901900|MSZZ|XAUUSD|5|0|1|1742901600|1742901600;CFM|BO|XAUUSD|5|0|L|1742901900|MSZZ|XAUUSD|5|0|1|1742901600|1742901600;Fast trigger, medium confirmation/context, slow bullish alignment
